Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,
11/01/2024,19,PM2.5,East HS,39-153-0017,AQS,.,6,19,,
12/01/2024,33,PM2.5,East HS,39-153-0017,AQS,.,10,33,,
01/02/2024,32,PM2.5,East HS,39-153-0017,AirNow,.,7,32,,
02/02/2024,37,PM2.5,East HS,39-153-0017,AirNow,.,8,37,,
03/02/2024,39,PM2.5,East HS,39-153-0017,AQS,26,9,39,,
04/02/2024,35,Ozone,Lake Rockwell,39-133-1001,AQS,35,6,23,,
05/02/2024,80,Ozone,Lake Rockwell,39-133-1001,AQS,80,17,33,,
06/02/2024,48,PM2.5,East HS,39-153-0017,AQS,37,11,48,,
07/02/2024,49,Ozone,North HS,39-153-0026,AQS,49,12,25,,
08/02/2024,42,Ozone,North HS,39-153-0026,AQS,42,11,27,,
09/02/2024,32,Ozone,North HS,39-153-0026,AQS,32,6,20,,
10/02/2024,38,Ozone,Lake Rockwell,39-133-1001,AQS,38,7,21,,
11/02/2024,28,PM2.5,East HS,39-153-0017,AQS,.,8,28,,
12/02/2024,44,PM2.5,East HS,39-153-0017,AQS,.,11,44,,
01/03/2024,56,PM2.5,East HS,39-153-0017,AirNow,.,14,56,,
02/03/2024,36,PM2.5,East HS,39-153-0017,AQS,.,9,36,,
03/03/2024,53,PM2.5,East HS,39-153-0017,AQS,40,13,53,,
04/03/2024,37,Ozone,Lake Rockwell,39-133-1001,AQS,37,5,17,,
05/03/2024,51,PM2.5,East HS,39-153-0017,AQS,45,21,51,,
06/03/2024,51,PM2.5,East HS,39-153-0017,AQS,44,15,51,,
07/03/2024,49,Ozone,Lake Rockwell,39-133-1001,AQS,49,13,32,,
08/03/2024,43,Ozone,Lake Rockwell,39-133-1001,AQS,43,11,32,,
09/03/2024,45,Ozone,North HS,39-153-0026,AQS,45,10,29,,
10/03/2024,47,PM2.5,East HS,39-153-0017,AQS,47,16,47,,
11/03/2024,26,PM2.5,East HS,39-153-0017,AQS,.,8,26,,
12/03/2024,57,PM2.5,East HS,39-153-0017,AQS,.,16,57,,
01/04/2024,17,PM2.5,East HS,39-153-0017,AQS,.,5,17,,
02/04/2024,53,PM2.5,East HS,39-153-0017,AirNow,.,12,53,,
03/04/2024,41,PM2.5,East HS,39-153-0017,AQS,37,13,41,,
04/04/2024,37,Ozone,Lake Rockwell,39-133-1001,AQS,37,4,18,,
05/04/2024,39,PM2.5,East HS,39-153-0017,AQS,36,12,39,,
06/04/2024,52,PM2.5,East HS,39-153-0017,AQS,47,19,52,,
07/04/2024,43,PM2.5,East HS,39-153-0017,AQS,39,14,43,,
08/04/2024,64,PM2.5,East HS,39-153-0017,AQS,44,22,64,,
09/04/2024,51,Ozone,North HS,39-153-0026,AQS,51,14,27,,
10/04/2024,61,Ozone,Lake Rockwell,39-133-1001,AQS,61,23,52,,
11/04/2024,31,PM2.5,East HS,39-153-0017,AQS,.,17,31,,
12/04/2024,55,PM2.5,East HS,39-153-0017,AQS,.,18,55,,
